Index,Title,Text,Label
10,"Migrant workers board two special trains from Mangaluru to UP, Bihar","Two Shramik Special trains ferrying migrant workers left Mangaluru Junction Railway Station for Uttar Pradesh and Bihar on Sunday. The first train with 1,129 workers left for Gorakhpur, Uttar Pradesh, at 2.20 p.m from Mangaluru  Junction. The passengers, who had registered their names on the State government’s Sevasindhu portal, were brought in several buses from Bunder, Bombay Hotel, Kandatpalli, Kudroli, Kankanady and Ullal to the railway station. They underwent thermal scanning before being allowed to board their coaches. “Social distancing was ensured during boarding and once on board, the passengers adhered to it by keeping the middle berths vacant,” said Southern Railway in a tweet on its official handle, @GMSouthernrailway. Another special train left with 1,149 workers to Khagariya in Bihar at 6.20 p.m. from Mangaluru Junction. The passengers were brought from Panambur and Jokatte. A total of 23 buses were used for the purpose, said a release from Deputy Commissioner Sindhu B. Rupesh. Shramik Special train services were launched at Mangaluru Junction on Saturday evening. As many as 1,168 workers travelled on a train bound for Jharkhand. The train comprised 18 sleeper coaches, four general coaches and two luggage-cum-brake van coaches. According to officials, ₹ 960 was collected as fare from each passenger for the journey. Norms flouted Accusing the district administration of flouting norms in repatriating the workers, Democratic Youth Federation of India State president Muneer Katipalla alleged that not all workers who travelled on the trains were registered with the Sevasindhu portal. Workers were packed onto buses and no proper medical check-up was conducted, he said. Refuting the allegations, Ms. Rupesh said in the release that all workers were screened and their complete details were taken before they were allowed to board the buses. A district-level officer was made in-charge of each bus and he was assisted by a village accountant and two policemen. The district-level officers were involved in the work since 7 a.m., Ms. Rupesh said. The Deputy Commissioner in another communique said that those coming to Dakshina Kannada from other States should have Sevasindhu passes and enter through the designated check-posts. All such persons would compulsorily undergo institutional quarantine, she said and added that people illegally entering the district would be dealt with as per law.",REAL
11,6-year-old boy solves decade-old robbery case by fishing out safe from South Carolina lake,"6-year-old boy helped crack open a nearly decade-old robbery case when he reeled in a locked safe from the bottom of a South Carolina lake.Knox Brewer of Johns Island took up ""magnet fishing"" and began hunting for metal objects underwater as a way to pass time during the novel coronavirus pandemic, his family members told WCIV-TV this week. The boy was out with his family at Whitney Lake this month when the magnet attached to his line stuck to something heavy in the mud below, the news outlet reported. With the help of a bystander, Knox pulled in and pried open what turned out to be a waterlogged lockbox containing debris-covered jewelry and credit cards, as well as a checkbook, according to a video of the discovery. ""I knew the right thing to do was go ahead and call the local authorities, get them involved and try to solve this mystery,"" the child's father, Jonathan Brewer, told the outlet.",REAL
12,Tomato virus worse than covid 19,"A new virus that has emerged in tomatoes in Maharashtra is causing havoc. The virus is more dangerous than the novel coronavirus and was next in line to kill people.While the world is yet to find a cure for the dangerous coronavirus, a new and more dangerous virus has come to “steal people’s lives” and can be found in people’s kitchens, in tomatoes.",FAKE
13,Are Babies Contracting Kawasaki Disease During The COVID-19 Pandemic?,"Kawasaki disease is spreading among babies during the coronavirus pandemic.My god! Corona virus is not yet over. Here goes another! / MOMMIES, MOMS, MOTHERS REMINDER !!! / KAWASAKI DISEASE IS SPREADING NOW IN BABIES !!! REMINDER TO MOMS, DO NOT LET BABIES PUT TOYS IN THEIR MOUTHS ,AND MAINTAIN WASHING THE GENITAL AREA AFTER CHANGING DIAPER,HANDS AND MOUTH..WHEN YOU OBSERVE FEVER AND RED RASHES IN THE CHILD'S BODY IMMEDIATELY TAKE THE CHILD TO THE DOCTOR.",FAKE
14,COVID-19 Easier To Transmit Through Human Contact Than Surfaces: CDC,"The Centres For Disease Control and Prevention (CDC), the apex health agency of the United States of America revised its COVID-19 transmission guidelines stating that the virus SARS-CoV-2 transmits more easily through directly coming in contact with a positive patient rather than touching surfaces. The CDC says that SARS- CoV-2 is spreading very easily and sustainably between people. It also mentions that this current virus is spreading more efficiently- that is it is easier to transmit and get infected by SARS-CoV-2 over the influeza virus. However, it is not as easy to be infected by coronavirus as it is by measles which is more contagious. The CDC believes that the virus spreads between people who are in close proximity and are within about 6 feet of one another. The virus is transmitted through respiratory droplets that are produced by an infected person and can land or be inhaled by passerbys. The virus can also be spread by people that are not showing symptoms.",REAL
15,"MHA Allows CBSE, ICSE To Hold Board Exams During Lockdown",The Ministry of Home Affairs has exempted various educational boards from COVID-19 lockdown restrictions in order to conduct board exams. The MHA released a circular with guidelines to conduct the board examinations. Union Home Minister Amit Shah tweeted and also attached a letter by Home Secretary Ajay Bhalla to Chief Secretaries of all states informing about the government's decision.,REAL
16,Thrombosis is the leading cause of COVID-19 deaths,"thrombosis - the medical term for blood clots in blood vessels - is the leading cause of COVID-19 deaths.the disease has been 'wrongly diagnosed' so far and claims that Italian doctors now feel with the correct diagnosis, ventilators will not be necessary for treatment.the message can be summarised into three broad claims. Claim: 1. Thrombosis and not pneumonia is the leading cause of COVID-19 deaths. Claim 2. Ventilators and Intensive care units would not be needed if coronavirus was correctly diagnosed and a new method of treatment of antibiotics and anti-inflammatories has led to the decrease of deaths in Italy. Claim 3. A mixture of aspirin, honey, and lemon juice attacks COVID-19 and cures coronavirus.",FAKE
17,Anti-corona mattress,"India will progress if it sleeps on this anti-coronavirus mattress. A “corona-resistant mattress” priced at ₹15,000 and with a five-year warranty, and the address of the furniture gallery in Kasheli, Bhiwandi.",FAKE
18,"Migrant workers board two special trains from Mangaluru to UP, Bihar","Two Shramik Special trains ferrying migrant workers left Mangaluru Junction Railway Station for Uttar Pradesh and Bihar on Sunday. The first train with 1,129 workers left for Gorakhpur, Uttar Pradesh, at 2.20 p.m from Mangaluru Junction. The passengers, who had registered their names on the State government’s Sevasindhu portal, were brought in several buses from Bunder, Bombay Hotel, Kandatpalli, Kudroli, Kankanady and Ullal to the railway station. They underwent thermal scanning before being allowed to board their coaches. “Social distancing was ensured during boarding and once on board, the passengers adhered to it by keeping the middle berths vacant,” said Southern Railway in a tweet on its official handle, @GMSouthernrailway. Another special train left with 1,149 workers to Khagariya in Bihar at 6.20 p.m. from Mangaluru Junction. The passengers were brought from Panambur and Jokatte. A total of 23 buses were used for the purpose, said a release from Deputy Commissioner Sindhu B. Rupesh.  Shramik Special train services were launched at Mangaluru Junction on Saturday evening. As many as 1,168 workers travelled on a train bound for Jharkhand. The train comprised 18 sleeper coaches, four general coaches and two luggage-cum-brake van coaches. According to officials, ₹ 960 was collected as fare from each passenger for the journey.",REAL
19,Hindu monk infects 300 people with coronavirus,"a Hindu priest living in a temple with other priests in the Transport Nagar area of Jaipur created an entire chain of coronavirus cases in the city.One of the Covid-positive monks in Jaipur's temple spread corona to devotees visting the temple  and others through his habit of smoking chillum.the Hindu priest was habitual of smoking and used to sell milk.He tested positive for corona ,priests living with him and his families who bought milk from his families have been quarnatined.",FAKE
20,Ambedkar statue found damaged in U.P. village,"A statue of Dr. B.R. Ambedkar was found damaged in Lakshmana village in Uttar Pradesh’s Bhadohi district on May 23, leading to tension in the area, police said. The 6-ft.-tall statue, installed in Dalit Basti of the village under the Aurai Police Station limits, was found damaged on the morning of May 23, Additional Superintendent of Police Ravindra Verma said. Police rushed to the area as people started gathering after the incident, the ASP said. A new statue is being installed and a case has been registered against unidentified persons, the official said, adding a complaint was received and investigation was on. Additional police force has been deployed in the village, the ASP added.",REAL
21,Action against schools if special classes for class 10 are conducted,"School Education Minister K.A. Sengottaiyan has said that action would be taken against schools if they were found conducting special classes for Class 10 students. Addressing media persons in Gobichettipalayam on Saturday, the Minister said that schools were not allowed to conduct special classes for students who are to appear for their board exams from June 15 to 25.“Action will be taken if special classes are conducted,” he said. The Minister added that only after the publication of Class 10 results can all schools admit students for Class 11 (Plus One) and warned of action in case of violations. He said that teachers had refused to evaluate exam papers in the districts of Chennai, Tiruvallur, Ariyalur and Kancheepuram as the number of COVID-19 positive cases are hight in these districts. “Hence, the answer sheets were moved to other districts for valuation”, he added. The Minister said that if schools were found collecting fees before reopening, parents can lodge complaints with proof to the School Edcucation Department for necessary action. ",REAL
22,Modi did not consult ICMR-appointed COVID task force before key decisions.,"“The committee has not met all of last week,"" a member of the task force on #COVID19, comprising 21 scientists, said. ""It seems like they created a committee to say they were consulting the scientists.”",FAKE
23,Mustard Oil eliminates COVID-19 and controlling breath for a minute detects it.,"Yoga guru Baba Ramdev's claims that holding one's breath for thirty seconds to a minute can be a self diagnosing test for COVID-19 and another claim that applying mustard oil to one's nostrils can kill the virus in a person's stomach.Ramdev made these claims in a 24-minute video conversation called E-agenda with Aaj Tak on April 25, 2020. At the five-minute mark, Ramdev suggests a 'self-test' for COVID-19. He states that if a person with or without any ailments is able to hold their breath for 30 seconds or a minute without experiencing breathlessness, they are self diagnosing that they are not affected by COVID-19.  At the six-minute mark he recommended putting drops of mustard oil into the nose and claimed it would push the coronavirus into the stomach through the respiratory system where it would be destroyed by juices in the stomach.",FAKE
24,Japanese Nobel Laureate Tasuku Honjo Says SARS-CoV-2 Is Man-made,Honjo worked with the Wuhan laboratory for four years. BOOM looked through Honjo's profiles on the Nobel site as well as the Kyoto University website.The claim also further states that if the virus was natural it would have only spread to specific areas and states how varying temperatures of different countries could not contain the spread of the virus.,FAKE
25,Hydroxychloroquine Found In Kalonji Seeds,"WhatsApp forwards claiming Nigella seeds or Kalonji - as it is known in India, contain hydroxychloroquine, the anti-malarial drug being used to fight the novel Coronavirus.Kalonji is known to have medicinal properties and is considered a natural remedy for a wide range of illnesses but its link with SARS-CoV-2, the virus that causes COVID-19, has not yet been conclusively established. A 2020 study found that kalonji could have potential inihibitors for SARS-CoV-2 but the study has not yet been replicated to verify its authenticity.",FAKE
26,Plasma Therapy For COVID-19,"his strategy of resorting to convalescent plasma therapy is now being followed in several countries and in Indian hospitals too. The idea behind plasma therapy is that the blood of an individual who has beaten COVID-19, might have antibodies that can help others battling the infection. Hospitals such as Max and AIIMS in Delhi, hospitals in Mumbai, Indore. Lucknow and Kerala have received permission from the Indian Council of Medical Research (ICMR) to utilise plasma therapy on an experimental basis to tackle the ongoing battle for COVID-19.This therapy has been approved by the US Food Drug and Administration as an investigative tool to decipher whether the therapy could evolve as a treatment mechanism to fight against the disease. The Indian Council of Medical Research also permitted various states to begin clinical trials and has designed a controlled study to understand the impact of the same. In the press conference on April 28, Lav Agarwal, Joint Secretary, Ministry of Health and Family Welfare said that plasma therapy is being experimented and there is no evidence that this can be used as a treatment.",REAL
27,PM Narendra Modi getting a make over before appearing on television,The amount of makeover this poor man goes through before making a television appearance.Prime Minister Narendra Modi is being tended to by a makeup artist who is paid 15 lakh rupees a month.,FAKE
28,Tension continues on LAC between India and China,"India is “closely monitoring the situation and taking appropriate steps” sources said a day after Army Chief General Manoj Naravane visited the Leh-based 14 Corps headquarters to review the “overall situation on the ground,” even as reports indicated that Chinese troops remain in areas along the Line of Actual Control (LAC) in eastern Ladakh that are patrolled by India.“Situation remains tense at Pangong Tso, Galwan Nalah and Demchok. It is being closely monitored,” sources said, as more troops are being moved into the areas of conflict in Sikkim and Ladakh.In particular, sources told The Hindu that Chinese troops are maintaining positions at 3-4 points along the Galwan nalah, from “point 14 to Gogra mountain”.According to the sources, at each of these points, the PLA has stationed troops, dug in tents and even bunkers. The situation has been escalating since initial incursions in mid-April, after Indian and Chinese soldiers exchanged blows and inflicted injuries.",REAL
29,Cash For Marrying Non-Muslim Women,"Newspaper clipping shows a rate card titled, 'Ladki Bhagao, Muslim Bano, Aur Inaam Pao,' which incentivises Muslim men for marrying outside their religion.",FAKE
30,Video Of Eid Shopping At Mumbai,"The video of a crowded market shared as 'Today Mohamad ali road Mumbai'.it shows people shopping for Eid in Hyderabad, India violating social distancing norms during the ongoing lockdown due to COVID-19.",FAKE
31,Youth beaten up during the COVID-19 lockdown,"A Hindu youth was brutally beaten for hoisting a saffron flag atop his house in West Bengal.This is the position of Hindus in West Bengal. This Hindu boy hoisted saffron flag atop his house."" The video shows a group of 5-6 men viciously beat a man tied to a tree with sticks and belts while a few bystanders record the gruesome violence on their cellphones.",FAKE
32,Actor Kiran Kumar tests positive for COVID-19,"Veteran film and TV actor Kiran Kumar has tested positive for coronavirus and is currently under home quarantine. The 74-year-old actor said he is asymptomatic and is doing “absolutely fine.”“I am asymptomatic. On May 14, I went to the hospital for a medical check-up, where the COVID-19 test was mandatory. So I got myself tested and the result was positive. But I had no symptoms then, nor do I have any now. There’s no fever, no cough, I’m fine and have self  Quarantined at home,” Kumar told PTI. The actor, who had featured in films like Dhadkan, Mujhse Dosti Karoge, among others, said it has been ten days since the test happened and he still hasn’t developed any symptoms. “My family lives on the second floor of the building and I’m currently on the third floor. On May 26 or May 27, I am going to get my second test done. At the moment I’m absolutely fine,” he added.As of Saturday, Maharashtra recorded total 47,190 coronavirus cases, with 1,577 death toll, according to the state health department.",REAL
33, French cases slow and patient tallies continue to fall,"The number of people in hospital with coronavirus in France fell by 205 to 17,178 on Saturday, continuing a gradual decline that has continued for more than five weeks since a high of 32,292 on April 14. The number of people in intensive care fell by 36 or 2.1% to 1,665, a slide that has been uninterrupted for six weeks since the April 8 peak at 7,148. Both numbers are key measures of a national health system's ability to cope with the epidemic. The French government is watching the infection rate and the hospital numbers closely in order to decide whether to loosen lockdown measures further in the weeks ahead. The ministry said France's cumulative coronavirus death toll stood at 28,332, an increase of 117 or 0.4% compared to Thursday. Friday's death toll data were not available.The ministry said it will update the death toll again on Monday. After showing a higher death toll than Spain for 10 days, France again fell below Spain, which reported an increase of several hundred deaths on Friday. On Saturday, Spain's cumulative death toll stood at 28,678, or 346 more than France, making Spain again the country with the world's fourth-highest death toll after the United States, Britain and Italy.",REAL
34,Italian President 'Surrender' To Coronavirus Outbreak,"the Italian government has given up, overwhelmed by the rising number of Coronavirus cases in the country. The Italian Prime Minister says, 'Our control is gone. Infectious disease is killing us. All the possible relief on earth is over. Here's our look at the sky.'",FAKE
35,Uttar Pradesh has locked the border not allowing migrants to enter.,"A video from 2019 showing a huge crowd gathered for a Territorial Army recruitment is being shared with a claim that migrant labourers are being denied entry into the state by the Uttar Pradesh government . The clip is being shared as hundreds of migrant workers are walking long distances on highways to reach their home states following the Coronavirus driven lockdown. In its third phase of lockdown, many states have eased restriction on business and movement of vehicles.In the viral video, one can see an out of control crowd, with several people jostling for space and police personnel lathi charging to maintain control. ",FAKE
36,"A leopard was spotted on roadside in Sion, Mumbai amid lockdown.","A video showing an unusual sight of a leopard resting against a median on a road in Hyderabad, Telangana is viral on WhatsApp and Facebook with a claim that the wild animal was seen in Mumbai's Sion area. A Facebook page shared the video claiming that the leopard was spotted in Mumbai during the ongoing lockdown. ""Lock Down Miracle* *Leopard spotted resting in the midst of Mumbai's traffic in Sion area,"" the text of the post said.",FAKE
37,Mould on leather products kept in a store amid lockdown.,"The photos are being shared with claims drawing attention to the damaged products and advising people to  shopping at malls, post the lockdown. The image is being shared as governments in India's third phase of lockdown, are easing restrictions and allowing opening of shops, provided safety measures are in place.In the photos, several leather products like purses, belts, and shoes kept on display in a shop can be seen covered in mould and dust. The photos are being shared in India, with the caption advising people to avoid visiting malls for a month after the lockdown has ended. Breathing in the air at the mall could cause respiratory issues and there would fungus accumulation in the vents.",FAKE
38,"Mixed results in clinical trials, 3 states for quarantining domestic flyers","Mixed results from clinical trials of several promising treatments and vaccines against the coronavirus disease (Covid-19) brought good and bad news this week to a world desperate for a remedy. Meanwhile, at least three states -- Karnataka, Punjab and Kerala -- have decided on quarantining domestic flyers reaching there even though civil aviation minister Hardeep Puri has repeatedly said such a move is not needed.A Delhi business executive who has an all-important business meeting in Bengaluru can now fly to the southern city -- domestic airline services are being restored from Monday -- but faces the prospect of a seven-day quarantine at a state-run institution and another seven days out of it. It isn’t a competition, yet most states have started treating their response to the coronavirus disease as one. Competitions have metrics, and this one has two — the number of cases, and the number of deaths. Metrics, though, have the ability of provoking undesirable behaviour. India will try to restart a good percentage of international passenger flights before August, civil aviation minister Hardeep Singh Puri on Saturday said, three days after announcing resumption of domestic flights from May 25. The Congress on Saturday released a video of an interaction between former party chief Rahul Gandhi and a group of migrant workers who were walking back to their village in Uttar Pradesh from Haryana during the lockdown. Mixed results from clinical trials of several promising treatments and vaccines against the coronavirus disease (Covid-19) released this week brought both cheer and gloom to a world desperate for a safe and effective treatment or vaccine against a disease that has infected at least 5.3 million people and killed 340,000. A vaccine for the coronavirus disease (Covid-19), developed by researchers at China’s CanSino Biologics was found to be safe and effective in its first test on humans, becoming the latest trial that raises hope for an early candidate that could help make people immune to the viral pandemic.",REAL
39,"Assam reports 17 new Covid-19 cases, state tally rises to 346","Guwahati (Assam) [India], May 24 (ANI): Seventeen more Covid-19 positive cases were confirmed in Assam on Saturday taking the total cases in the state to 346, said Assam Health Minister Himanta Biswa Sarma. He added that there are 282 active cases in the state. Further 57 persons have recovered while four have died due to Covid-19 in the state. A total of 1,25,101 confirmed cases of Covid-19 have been reported in India. 51,784 persons have recovered or migrated, the Ministry of Health and Family Welfare said on Saturday. There are 69,597 active cases of Covid-19 in the country at present. As many as 3,720 people have lost their lives due to the coronavirus in the country.",REAL
40,Domestic Flying In India: Know The Rules Before You Travel,"Domestic Flights in India will resume on May 25th, almost two months after air travel across the country had been shut because of the COVID-19 lockdown. A day after the government made the announcement of the resuming domestic flights, the Airport Authority of India (AAI) issued a list of Standard Operating Procedures (SOPs). But travelling by domestic flights in India won't be the same as before the COVID-19 pandemic. Rules of social distancing and precautionary measures have been put in place by the AAI. Here's what you need to know before taking a domestic flight in India:Before you get to the airport: -The Aarogya Setu mobile application is mandatory for everyone except children below the age of 14. Only passengers who are green on the app will be allowed to enter. -It's compulsory for all passengers to wear protective gear like a mask and gloves. -Passengers must do a web check-in and print boarding passes before leaving for the airport. For those who do not have access to printers at home, they will be provided the facility to print boarding passes at kiosks. BOOM spoke to an airport official who confirmed the facility but said that they would prefer passengers to carry their boarding passes to avoid a rush at the airport. -No physical check-ins will be done at the airport. -Passengers need to be present at least two hours before the departure of their flights, and passengers with flights departing in the next 4 hours will be able to enter the terminal building.-Passengers cannot travel if they are staying in a containment zone.",REAL
41,Two Men Rejecting Food At Bihar Quarantine,"The 17-second video shows a man shouting at a woman. As the man keeps yelling, another man comes from behind him and kicks a table with plates of food on it, overturning it. Towards the end of the video, both men can be seen creating a scene while bystanders record the incident.Shiraj Ahmed & Bhujouli Kurd refusing to eat food cooked by a Dalit women at a quarantine center'.",FAKE
42,Madagascan President Andry Rajoelina has accused WHO of offering a $20 million bribe to poison a COVID-19 remedy,"Tanzanian newspapers claim that Madagascan President Andry Rajoelina has accused the World Health Organization (WHO) of offering a $20 million bribe to poison a herbal tea remedy he hails as a COVID-19 cure.According to the Swahili article, Rajoelina made the allegations during an interview on French news channel France 24.A similar article, headlined ""WHO offered $20m bribe to see COVID-19 medicine poisoned - Madagascar President"", appeared in another newspaper, Tanzania Perspective, on May 14, 2020.",FAKE
43,SP members shouting Pakistan Zindabad slogans in Wadala station in the presence of leader Abu Asim Azmi.,"A video of Samajwadi Party (SP) supporters cheering for the local district president Sajid Siddiqui by saying ""Sajid bhai zindabad"" in Mumbai is being shared with claims that Pakistan Zindabad slogans were raised.The video from May 14, shows Azmi and other SP leaders and Mumbai police personnel flag off a shramik special train at Chhatrapati Shivaji Terminus station.The video from May 14, shows Azmi and other SP leaders and Mumbai police personnel flag off a shramik special train at Chhatrapati Shivaji Terminus station.The video, viral on both Facebook and Twitter, has been captioned as, ""Pakistan Zindabad slogans were raised in Mumbai. Pakistan Zindabad slogans were raised in front of minister Abu Azmi, who has been selected in the Thackeray government through SP party quota.""",FAKE
